version,expiration_s,expiration_us,expiration_iso
38.0,1436005107.656,1436005107656000,2015-07-04T10:18:27.656000Z
38.0esr,1436005107.656,1436005107656000,2015-07-04T10:18:27.656000Z
38.0.1esr,1436005107.656,1436005107656000,2015-07-04T10:18:27.656000Z
38.1.0esr,1436005107.656,1436005107656000,2015-07-04T10:18:27.656000Z
38.1.1esr,1436005107.656,1436005107656000,2015-07-04T10:18:27.656000Z
38.2.0esr,1447296559.005,1447296559005000,2015-11-12T02:49:19.005000Z
38.2.1esr,1447296559.005,1447296559005000,2015-11-12T02:49:19.005000Z
38.3.0esr,1450521015.67,1450521015670000,2015-12-19T10:30:15.670000Z
38.4.0esr,1454150236.697,1454150236697000,2016-01-30T10:37:16.697000Z
38.5.0esr,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
38.5.1esr,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
38.5.2esr,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
38.6.0esr,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
38.6.1esr,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
38.7.0esr,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
38.7.1esr,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
38.8.0esr,1469273938.349,1469273938349000,2016-07-23T11:38:58.349000Z
45.0esr,1462018996.035,1462018996035000,2016-04-30T12:23:16.035000Z
45.0.1esr,1462018996.035,1462018996035000,2016-04-30T12:23:16.035000Z
45.0.2esr,1462018996.035,1462018996035000,2016-04-30T12:23:16.035000Z
45.1.0esr,1467459159.229,1467459159229000,2016-07-02T11:32:39.229000Z
45.1.1esr,1467459159.229,1467459159229000,2016-07-02T11:32:39.229000Z
45.2.0esr,1472903978.258,1472903978258000,2016-09-03T11:59:38.258000Z
45.3.0esr,1472903978.258,1472903978258000,2016-09-03T11:59:38.258000Z
45.4.0esr,1481542269.357,1481542269357000,2016-12-12T11:31:09.357000Z
45.5.0esr,1486387020.258,1486387020258000,2017-02-06T13:17:00.258000Z
45.5.1esr,1488897094.671,1488897094671000,2017-03-07T14:31:34.671000Z
45.6.0esr,1489760534.178,1489760534178000,2017-03-17T14:22:14.178000Z
45.7.0esr,1493217457.106,1493217457106000,2017-04-26T14:37:37.106000Z
45.8.0esr,1496850344.606,1496850344606000,2017-06-07T15:45:44.606000Z
52.0esr,1496936394.007,1496936394007000,2017-06-08T15:39:54.007000Z
52.0.1esr,1497281642.469,1497281642469000,2017-06-12T15:34:02.469000Z
