version,release_date,expiration_date,expiration_days,previous_expiration_days,previous_release_days,firefox_version
5.0a3,2015-06-30,2015-07-04,4.43,none,none,38.1.0esr
5.0a4,2015-08-03,2015-07-04,-29.57,-29.57,34.00,38.1.0esr
5.0,2015-08-11,2015-11-12,93.12,-37.57,8.00,38.2.0esr
5.5a1,2015-08-11,2015-11-12,93.12,93.12,0.00,38.2.0esr
5.5a2,2015-08-28,2015-11-12,76.12,76.12,17.00,38.2.1esr
5.5a3,2015-09-22,2015-12-19,88.44,51.12,25.00,38.3.0esr
5.5a4,2015-11-03,2016-01-30,88.44,46.44,42.00,38.4.0esr
5.5a5,2015-12-18,2016-02-20,64.49,43.44,45.00,38.5.0esr
5.5a5-hardened,2015-12-18,2016-02-20,64.49,64.49,0.00,38.5.0esr
5.5a6,2016-01-07,2016-02-20,44.49,44.49,20.00,38.5.0esr
5.5a6-hardened,2016-01-07,2016-02-20,44.49,44.49,0.00,38.5.0esr
5.5,2016-01-26,2016-04-23,88.49,25.49,19.00,38.6.0esr
6.0a1,2016-01-27,2016-04-23,87.49,87.49,1.00,38.6.0esr
6.0a1-hardened,2016-01-27,2016-04-23,87.49,87.49,0.00,38.6.0esr
6.0a2,2016-02-15,2016-04-23,68.49,68.49,19.00,38.6.1esr
6.0a2-hardened,2016-02-15,2016-04-23,68.49,68.49,0.00,38.6.1esr
6.0a3,2016-03-08,2016-04-30,53.49,46.49,22.00,38.7.0esr
6.0a3-hardened,2016-03-08,2016-04-30,53.49,53.49,0.00,38.7.0esr
6.0a4,2016-03-17,2016-04-30,44.49,44.49,9.00,38.7.1esr
6.0a4-hardened,2016-03-17,2016-04-30,44.49,44.49,0.00,38.7.1esr
6.0a5,2016-04-28,2016-07-02,65.48,2.49,42.00,45.1.0esr
6.0a5-hardened,2016-04-28,2016-07-02,65.48,65.48,0.00,45.1.0esr
6.0,2016-05-30,2016-07-02,33.48,33.48,32.00,45.1.1esr
6.0.1,2016-06-07,2016-09-03,88.50,25.48,8.00,45.2.0esr
6.5a1,2016-06-08,2016-09-03,87.50,87.50,1.00,45.2.0esr
6.5a1-hardened,2016-06-08,2016-09-03,87.50,87.50,0.00,45.2.0esr
6.5a2,2016-08-03,2016-09-03,31.50,31.50,56.00,45.3.0esr
6.5a2-hardened,2016-08-03,2016-09-03,31.50,31.50,0.00,45.3.0esr
6.5a3,2016-09-20,2016-12-17,88.53,-16.50,48.00,45.4.0esr
