version,release_date,expiration_date,expiration_days,previous_expiration_days,previous_release_days,firefox_version
4.5a1,2014-11-14,2014-12-27,43.42,none,none,31.2.0esr
4.5a2,2014-12-05,2014-12-27,22.42,22.42,21.00,31.3.0esr
4.5a3,2015-01-19,2014-12-27,-22.58,-22.58,45.00,31.4.0esr
4.5a4,2015-02-24,2014-12-27,-58.58,-58.58,36.00,31.5.0esr
4.5a5,2015-03-31,2014-12-27,-93.58,-93.58,35.00,31.6.0esr
4.5,2015-04-28,2014-12-27,-121.58,-121.58,28.00,31.6.0esr
4.5.1,2015-05-12,2014-12-27,-135.58,-135.58,14.00,31.7.0esr
5.0a1,2015-05-14,2014-12-27,-137.58,-137.58,2.00,31.7.0esr
4.5.2,2015-06-15,2014-12-27,-169.58,-169.58,32.00,31.7.0esr
5.0a2,2015-06-15,2014-12-27,-169.58,-169.58,0.00,31.7.0esr
4.5.3,2015-06-30,2014-12-27,-184.58,-184.58,15.00,31.8.0esr
5.0a3,2015-06-30,2015-07-04,4.43,-184.58,0.00,38.1.0esr
5.0a4,2015-08-03,2015-07-04,-29.57,-29.57,34.00,38.1.0esr
5.0,2015-08-11,2015-11-12,93.12,-37.57,8.00,38.2.0esr
5.5a1,2015-08-11,2015-11-12,93.12,93.12,0.00,38.2.0esr
5.0.1,2015-08-18,2015-11-12,86.12,86.12,7.00,38.2.0esr
5.0.2,2015-08-27,2015-11-12,77.12,77.12,9.00,38.2.1esr
5.5a2,2015-08-28,2015-11-12,76.12,76.12,1.00,38.2.1esr
5.0.3,2015-09-22,2015-12-19,88.44,51.12,25.00,38.3.0esr
5.5a3,2015-09-22,2015-12-19,88.44,88.44,0.00,38.3.0esr
5.0.4,2015-11-03,2016-01-30,88.44,46.44,42.00,38.4.0esr
5.5a4,2015-11-03,2016-01-30,88.44,88.44,0.00,38.4.0esr
5.0.5,2015-12-15,2016-02-20,67.49,46.44,42.00,38.5.0esr
5.0.6,2015-12-18,2016-02-20,64.49,64.49,3.00,38.5.0esr
5.5a5,2015-12-18,2016-02-20,64.49,64.49,0.00,38.5.0esr
5.5a5-hardened,2015-12-18,2016-02-20,64.49,64.49,0.00,38.5.0esr
5.0.7,2016-01-07,2016-02-20,44.49,44.49,20.00,38.5.0esr
5.5a6,2016-01-07,2016-02-20,44.49,44.49,0.00,38.5.0esr
5.5a6-hardened,2016-01-07,2016-02-20,44.49,44.49,0.00,38.5.0esr
5.5,2016-01-26,2016-04-23,88.49,25.49,19.00,38.6.0esr
6.0a1,2016-01-27,2016-04-23,87.49,87.49,1.00,38.6.0esr
6.0a1-hardened,2016-01-27,2016-04-23,87.49,87.49,0.00,38.6.0esr
5.5.1,2016-02-04,2016-04-23,79.49,79.49,8.00,38.6.0esr
5.5.2,2016-02-12,2016-04-23,71.49,71.49,8.00,38.6.1esr
6.0a2,2016-02-15,2016-04-23,68.49,68.49,3.00,38.6.1esr
6.0a2-hardened,2016-02-15,2016-04-23,68.49,68.49,0.00,38.6.1esr
5.5.3,2016-03-08,2016-04-30,53.49,46.49,22.00,38.7.0esr
6.0a3,2016-03-08,2016-04-30,53.49,53.49,0.00,38.7.0esr
6.0a3-hardened,2016-03-08,2016-04-30,53.49,53.49,0.00,38.7.0esr
5.5.4,2016-03-16,2016-04-30,45.49,45.49,8.00,38.7.1esr
6.0a4,2016-03-17,2016-04-30,44.49,44.49,1.00,38.7.1esr
6.0a4-hardened,2016-03-17,2016-04-30,44.49,44.49,0.00,38.7.1esr
5.5.5,2016-04-26,2016-07-23,88.49,4.49,40.00,38.8.0esr
6.0a5,2016-04-28,2016-07-02,65.48,86.49,2.00,45.1.0esr
6.0a5-hardened,2016-04-28,2016-07-02,65.48,65.48,0.00,45.1.0esr
6.0,2016-05-30,2016-07-02,33.48,33.48,32.00,45.1.1esr
6.0.1,2016-06-07,2016-09-03,88.50,25.48,8.00,45.2.0esr
6.5a1,2016-06-08,2016-09-09,93.67,87.50,1.00,45.2.0esr
6.5a1-hardened,2016-06-08,2016-09-09,93.67,93.67,0.00,45.2.0esr
6.0.2,2016-06-21,2016-09-03,74.50,80.67,13.00,45.2.0esr
6.0.3,2016-08-02,2016-09-03,32.50,32.50,42.00,45.3.0esr
6.5a2,2016-08-03,2016-09-09,37.67,31.50,1.00,45.3.0esr
6.5a2-hardened,2016-08-03,2016-09-09,37.67,37.67,0.00,45.3.0esr
6.0.4,2016-08-16,2016-09-03,18.50,24.67,13.00,45.3.0esr
6.0.5,2016-09-16,2016-12-12,87.48,-12.50,31.00,45.4.0esr
6.5a3,2016-09-20,2016-12-17,88.53,83.48,4.00,45.4.0esr
6.5a3-hardened,2016-09-20,2016-12-17,88.53,88.53,0.00,45.4.0esr
6.0.6,2016-11-15,2017-02-14,91.60,32.53,56.00,45.5.0esr
6.5a4,2016-11-16,2017-02-14,90.60,90.60,1.00,45.5.0esr
6.5a4-hardened,2016-11-16,2017-02-14,90.60,90.60,0.00,45.5.0esr
6.0.7,2016-11-30,2017-03-07,97.61,76.60,14.00,45.5.1esr
6.5a5,2016-12-01,2017-03-07,96.61,96.61,1.00,45.5.1esr
6.5a5-hardened,2016-12-01,2017-03-07,96.61,96.61,0.00,45.5.1esr
6.0.8,2016-12-13,2017-03-17,94.60,84.61,12.00,45.6.0esr
6.5a6,2016-12-14,2017-03-17,93.60,93.60,1.00,45.6.0esr
